Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
ENGL,Steve Morse Signature E657,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E665,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E664,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E667,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E666,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E669,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E668,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E658,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E659,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E670,1,0,0,1,No,No,None
ENGL,Steve Morse Signature E671,1,0,0,1,No,No,None
ensoniq,asr-x_pro,15,0,0,15,No,No,None
erica_synths,lxr-02,121,0,0,121,No,No,None
Eventide,H9,29,0,0,29,Yes,Yes,None
Eventide,Knifedrop,11,0,0,11,No,No,None
Eventide,Rose,41,0,0,41,No,No,None
Eventide,Blackhole,17,0,0,17,No,No,None
Eventide,Tricerachorus,18,0,0,18,No,No,None
Eventide,Ultratap,16,0,0,16,No,No,None
expert_sleepers,fh-2,119,0,0,119,No,No,None
flame,curves,27,0,0,27,No,No,None
flame,mäander,33,0,0,33,No,No,None
fractal_audio,ax-8,65,0,0,65,No,No,None
fractal_audio,axe-fxii,117,0,0,117,No,No,None
fractal_audio,axe-fx_iii,0,0,0,0,No,No,None
fractal_audio,standard,54,0,0,54,No,No,None
fractal_audio,ultra,89,0,0,89,No,No,None
fred's_lab,buzzzy!,31,0,0,31,No,No,None
gem,rp-x,20,0,0,20,No,No,None
GFI System,Duophony,25,0,0,25,No,No,None
GFI System,Enieqma,96,0,0,96,No,No,None
GFI System,Specular Tempus,15,0,0,15,No,Yes,None
GFI System,Synesthesia,39,0,0,39,Yes,Yes,None
GFI System,Solis Ventus,76,0,0,76,Yes,Yes,None
gsmusic,e7,66,0,0,66,No,No,None
generic,midi_device,64,6,0,70,No,No,None
gotharman,spazedrum_black,67,0,0,67,No,No,None
hologram,microcosm,35,0,0,35,No,No,None
IK Multimedia,ToneX,107,0,0,107,No,No,None
IK Multimedia,uno_synth_pro_x,104,0,0,104,No,No,None
IK Multimedia,uno_drum,70,0,0,70,No,No,None
IK Multimedia,UNO Synth,67,0,0,67,No,No,None
IK Multimedia,x-series,5,0,0,5,No,No,None
Idoru,p-1,8,0,0,8,No,No,None
Idoru,P1,8,0,0,8,No,No,None
intellijel,umidi,10,0,0,10,No,No,None
jomox,airbase_99,58,0,0,58,No,No,None
Korg,arp_2600_m,5,0,0,5,No,No,None
Korg,electribe_er-1,2,15,0,17,No,No,None
Korg,grandstage,12,0,0,12,No,No,None
Korg,MS2000,65,0,0,65,No,No,None
